"seondary"	"mass"	"charge"	"10 MeV"	"20 MeV"	"30 MeV"	"40 MeV"	"50 MeV"	"60 MeV"	"70 MeV"	"80 MeV"	"90 MeV"	"100 MeV"	"110 MeV"	"120 MeV"	"130 MeV"	"140 MeV"	"150 MeV"	"160 MeV"	"170 MeV"	"180 MeV"	"190 MeV"	"200 MeV"	"210 MeV"	"220 MeV"	"230 MeV"	"240 MeV"	"250 MeV"	"260 MeV"	"270 MeV"	"280 MeV"	"290 MeV"	"300 MeV"	"310 MeV"	"320 MeV"	"330 MeV"	"340 MeV"	"350 MeV"	"360 MeV"	"370 MeV"	"380 MeV"	"390 MeV"	"400 MeV"	"410 MeV"	"420 MeV"	"430 MeV"	"440 MeV"	"450 MeV"
"O22"	20498.06686	8	0	3.33333e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pi-"	139.57018	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	2.66667e-07	7.66667e-07	2.23333e-06	5.03333e-06	1.03667e-05	1.97e-05	3.73e-05	6.47333e-05	0.000109567	0.0001967	0.0003374	0.0005788	0.0009557	0.0015485	0.0023511	0.00348543	0.00494127	0.00682477	0.00918187	0.0120066	0.0153374	0.019232	0.0235656	0.0286538	0.034259	0.0404294	0.0470605	0.0543565	0.0621364
"pi+"	139.57018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	3e-07	3.33333e-07	1.66667e-06	4.4e-06	8.83333e-06	1.69333e-05	3.12667e-05	5.45e-05	9.13667e-05	0.000169967	0.000302667	0.000524933	0.0008871	0.00141557	0.00216487	0.00322773	0.0045403	0.00632253	0.00840973	0.0110151	0.0140914	0.0176762	0.0218253	0.0264836	0.0316835	0.0374035	0.0437216	0.0505532	0.0578899
"pi0"	134.9766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667e-08	4e-07	1.06667e-06	2.6e-06	6.16667e-06	1.15e-05	2.35e-05	4.20667e-05	7.19333e-05	0.000120567	0.000206333	0.0003632	0.0006051	0.000986433	0.001551	0.0023298	0.00340787	0.00479473	0.0065481	0.0087693	0.0113809	0.0144626	0.0180089	0.0221477	0.026725	0.0319313	0.0374984	0.0436944	0.050395	0.0575044
"proton"	938.272013	1	1.44339	1.24723	1.12349	1.1981	2.1569	2.39583	2.5828	2.73361	2.8559	2.96001	3.04889	3.12445	3.19221	3.25118	3.30278	3.3502	3.39168	3.43006	3.46601	3.49828	3.52908	3.55854	3.58441	3.60928	3.63213	3.65459	3.67639	3.69654	3.71419	3.73186	3.74829	3.76418	3.78057	3.79479	3.80923	3.8227	3.83647	3.8495	3.86198	3.87492	3.88877	3.90096	3.9138	3.92528	3.93812
"Si25"	23284.02896	14	5.33333e-07	1e-07	0	6.66667e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Si26"	24204.55403	14	2.1e-06	1.93333e-06	8e-07	3.66667e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Si27"	25130.80839	14	3.11333e-05	2.22e-05	4.33333e-06	1.46667e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Si28"	26053.19393	14	0.000393667	3.74667e-05	2.8e-06	2.5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"triton"	2808.921	1	0.0568679	0.43087	0.695728	0.780918	0.152398	0.152839	0.153403	0.154715	0.156409	0.158628	0.160758	0.163072	0.165533	0.16787	0.169982	0.17209	0.173767	0.175717	0.17762	0.179293	0.180925	0.182667	0.184415	0.185779	0.187208	0.188503	0.190091	0.19142	0.192548	0.193627	0.194826	0.195702	0.196711	0.197477	0.198243	0.198913	0.199567	0.200186	0.200588	0.201027	0.201657	0.202124	0.202277	0.202576	0.202897
