"seondary"	"mass"	"charge"	"10 MeV"	"20 MeV"	"30 MeV"	"40 MeV"	"50 MeV"	"60 MeV"	"70 MeV"	"80 MeV"	"90 MeV"	"100 MeV"	"110 MeV"	"120 MeV"	"130 MeV"	"140 MeV"	"150 MeV"	"160 MeV"	"170 MeV"	"180 MeV"	"190 MeV"	"200 MeV"	"210 MeV"	"220 MeV"	"230 MeV"	"240 MeV"	"250 MeV"	"260 MeV"	"270 MeV"	"280 MeV"	"290 MeV"	"300 MeV"	"310 MeV"	"320 MeV"	"330 MeV"	"340 MeV"	"350 MeV"	"360 MeV"	"370 MeV"	"380 MeV"	"390 MeV"	"400 MeV"	"410 MeV"	"420 MeV"	"430 MeV"	"440 MeV"	"450 MeV"
"Li9"	8406.867719	3	6.13333e-06	4.96333e-05	1.64e-05	4.03333e-06	0.000554103	0.00132657	0.00236803	0.0032113	0.00366577	0.00384913	0.00382283	0.00367227	0.00349053	0.00328927	0.00310427	0.0029116	0.00279087	0.00263143	0.002509	0.00241317	0.0023095	0.00223173	0.00214137	0.00210857	0.00202593	0.00197727	0.00194653	0.00190347	0.00186167	0.00181873	0.00181763	0.0017901	0.0017753	0.00176033	0.00174503	0.00173273	0.00171367	0.00173137	0.00171163	0.00171203	0.0017151	0.0017087	0.0017106	0.00169777	0.0017135
"Mg21"	19566.15859	12	6.66667e-07	0	2.33333e-07	1.33333e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mg22"	20486.34515	12	1.43667e-05	2.46667e-06	2.2e-06	8e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mg23"	21412.76237	12	2.50333e-05	4.06667e-05	1.37e-05	4.6e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mg24"	22335.7966	12	0.000268633	0.000303633	2.94e-05	2.4e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"N12"	11191.69094	7	2.6e-06	1.8e-05	1.67333e-05	1.02667e-05	0.00821441	0.0081147	0.00723287	0.00638457	0.00575013	0.005332	0.00501127	0.00481157	0.00460877	0.00444087	0.00427613	0.00411817	0.00397077	0.0037978	0.0036465	0.0034912	0.00331563	0.00322093	0.00307227	0.002919	0.00280967	0.00268243	0.00257873	0.00246177	0.00234257	0.00224657	0.00214533	0.00203287	0.0019702	0.00186303	0.00177863	0.00171493	0.00163983	0.00158117	0.00150927	0.00146113	0.00141427	0.00137043	0.00132173	0.00127903	0.0012409
"N13"	12111.19236	7	0.00889853	0.0106031	0.0347385	0.0387362	0.0184223	0.0071915	0.00230997	0.000685667	0.0001889	4.67e-05	1.02e-05	1.83333e-06	3e-07	0	0	3.33333e-08	0	0	6.66667e-08	3.33333e-08	2.33333e-07	2e-07	2e-07	3e-07	7e-07	8e-07	1.73333e-06	2.6e-06	3.43333e-06	3.56667e-06	5.66667e-06	4.66667e-06	6.13333e-06	6e-06	5.83333e-06	7.06667e-06	7.3e-06	7.6e-06	6.83333e-06	7.46667e-06	7.46667e-06	6.93333e-06	6.2e-06	7.4e-06	6.8e-06
"N14"	13040.20433	7	0.18648	0.0957969	0.0658681	0.0441576	0.005136	0.000592067	4.23333e-05	1.7e-06	1e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	0	0	0	0	0	0	0	0
"N15"	13968.93638	7	0.0675518	0.0677248	0.0277607	0.0122661	0.000215448	3.26667e-06	3.33333e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"N16"	14906.01262	7	0.00362767	0.000244633	5.46667e-06	3.66667e-07	3.7931e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
