"seondary"	"mass"	"charge"	"10 MeV"	"20 MeV"	"30 MeV"	"40 MeV"	"50 MeV"	"60 MeV"	"70 MeV"	"80 MeV"	"90 MeV"	"100 MeV"	"110 MeV"	"120 MeV"	"130 MeV"	"140 MeV"	"150 MeV"	"160 MeV"	"170 MeV"	"180 MeV"	"190 MeV"	"200 MeV"	"210 MeV"	"220 MeV"	"230 MeV"	"240 MeV"	"250 MeV"	"260 MeV"	"270 MeV"	"280 MeV"	"290 MeV"	"300 MeV"	"310 MeV"	"320 MeV"	"330 MeV"	"340 MeV"	"350 MeV"	"360 MeV"	"370 MeV"	"380 MeV"	"390 MeV"	"400 MeV"	"410 MeV"	"420 MeV"	"430 MeV"	"440 MeV"	"450 MeV"
"Li3"	2821.616287	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	3.33333e-08	0	0	0	0	3.33333e-08	3.33333e-08	1e-07	1.33333e-07	1.33333e-07	1.33333e-07	1e-07	2.33333e-07	2.66667e-07	1.66667e-07	2e-07	3.33333e-08	2.33333e-07	2.66667e-07	3.33333e-07	4.33333e-07	3e-07	3.33333e-07	3e-07
"Li6"	5601.518164	3	0	0	0.0591906	0.0606155	0.0411743	0.0511453	0.0588532	0.0619237	0.0633042	0.0636449	0.0635345	0.0633613	0.0628947	0.062543	0.062222	0.0619122	0.0617288	0.0614677	0.0613568	0.061383	0.0614901	0.0615876	0.0616768	0.0618591	0.0620449	0.0621865	0.0623997	0.0624421	0.0625472	0.0625501	0.0624967	0.0625897	0.0624352	0.0623781	0.0622642	0.0621268	0.061861	0.0617642	0.061644	0.0614159	0.0612155	0.0611638	0.0609151	0.0607439	0.0606257
"Li7"	6533.83354	3	0	0	1.33333e-06	0.0476049	0.0379516	0.0390237	0.0395998	0.0397448	0.0400745	0.0404472	0.0409998	0.0415301	0.0419984	0.0425439	0.0431786	0.0437375	0.0442102	0.0447582	0.045194	0.0455556	0.046031	0.0464662	0.046832	0.0471925	0.04749	0.0478591	0.0481476	0.0483916	0.0486085	0.0488359	0.0490244	0.0492813	0.049445	0.0496767	0.0498542	0.050058	0.0502782	0.0504796	0.0506688	0.0509685	0.0510616	0.0512162	0.0514002	0.0515311	0.0516982
"Li8"	7471.366271	3	0	0	0	0	3.33333e-08	0.000131967	0.000463067	0.0007199	0.0010419	0.0013598	0.00161187	0.0018554	0.00205993	0.0022209	0.0023683	0.00249787	0.0025897	0.00268653	0.00276027	0.00284337	0.00290823	0.00299353	0.0030566	0.0031223	0.00317027	0.00324193	0.0032977	0.0033599	0.0034227	0.00345817	0.00351417	0.00356623	0.00361757	0.00367057	0.00369873	0.003757	0.0037903	0.0038642	0.00391657	0.0039805	0.00404963	0.0041287	0.00421917	0.00429237	0.00440237
"Li9"	8406.867719	3	0	0	0	0	0	0	4.66667e-07	1.1e-06	3.26667e-06	6.9e-06	1.06333e-05	1.72333e-05	2.22333e-05	2.90667e-05	3.74667e-05	4.64e-05	5.73e-05	6.73333e-05	7.79333e-05	8.57667e-05	9.08333e-05	0.000103067	0.000105467	0.000112567	0.000121333	0.000127433	0.000131467	0.0001374	0.000145233	0.000146833	0.000154567	0.000164333	0.000170967	0.000175267	0.000193333	0.000207833	0.0002277	0.0002469	0.0002713	0.0003037	0.0003383	0.000377467	0.0004023	0.0004425	0.000476633
"N12"	11191.69094	7	0	0	7.53e-05	0.000118167	0.00272997	0.0018199	0.00188667	0.00141623	0.0013751	0.00138397	0.00120453	0.000980633	0.00118633	0.00115137	0.00104463	0.000925567	0.000976767	0.000804833	0.000959867	0.000955667	0.0009495	0.000912533	0.000789667	0.000811733	0.0007829	0.000685933	0.0005793	0.000612867	0.0006474	0.0006342	0.0006632	0.000570333	0.000630767	0.000652	0.000580567	0.000560067	0.000586167	0.000604967	0.000575433	0.000518067	0.000598233	0.000524667	0.000593833	0.000524167	0.000542233
"N13"	12111.19236	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667e-08	1.66667e-07	3.33333e-07	4e-07	5.33333e-07	8.33333e-07	1.3e-06	2.23333e-06	2.06667e-06	3.33333e-06	4.53333e-06	4.63333e-06	5.3e-06	5.1e-06	6.46667e-06	7.66667e-06	6.6e-06	6.53333e-06	6.3e-06	7.1e-06	7.36667e-06	6.13333e-06	8.1e-06	6.2e-06	7.73333e-06	6.6e-06	7.76667e-06
"neutron"	939.565378	0	0	0	0.0644138	0.226717	0.493411	0.590386	0.669546	0.735309	0.788365	0.830235	0.863307	0.89009	0.911071	0.928538	0.943029	0.955344	0.965765	0.975353	0.983194	0.990538	0.997222	1.00328	1.00929	1.01413	1.01889	1.02358	1.02802	1.03157	1.0349	1.03809	1.04067	1.04353	1.04576	1.04765	1.05017	1.05212	1.05388	1.05597	1.05852	1.06102	1.06333	1.06616	1.06892	1.07238	1.07571
"O13"	12128.44888	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	3.33333e-08	1e-07	1e-07	3e-07	2.33333e-07	2.33333e-07	6e-07	8e-07	6.66667e-07	1.13333e-06	1.6e-06	1.56667e-06	2.03333e-06	1.56667e-06	2.03333e-06	2.26667e-06	1.7e-06	2.06667e-06	2.13333e-06	3.03333e-06	2.46667e-06	2.03333e-06	2.53333e-06	1.86667e-06	2.73333e-06	2.1e-06	2.06667e-06
"pi-"	139.57018	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	1.33333e-07	4e-07	9.33333e-07	2.56667e-06	3.9e-06	7.56667e-06	1.43e-05	2.72333e-05	4.61333e-05	8.06667e-05	0.000134867	0.0002147	0.000337567	0.0005034	0.000719	0.00100107	0.00135373	0.0017776	0.00228537	0.0028562	0.00354	0.00429207	0.0051267	0.0060577	0.0070336	0.0081227	0.00927407
"pi+"	139.57018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	2e-07	4.33333e-07	1.1e-06	2.66667e-06	6.3e-06	1.24667e-05	2.44667e-05	4.21333e-05	8.22667e-05	0.0001571	0.000281067	0.0004985	0.0008291	0.001315	0.00199777	0.00292357	0.0040781	0.00554697	0.00731903	0.00945137	0.0119296	0.0147975	0.0180548	0.0216917	0.0257016	0.0300977	0.0348789	0.0400263
"pi0"	134.9766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-07	5e-07	1.23333e-06	3.53333e-06	6.66667e-06	1.32333e-05	2.32333e-05	4.08e-05	6.99e-05	0.000124233	0.0002168	0.000363733	0.000593533	0.000920533	0.00136917	0.0019452	0.0026888	0.0036094	0.0047468	0.00606327	0.0076385	0.00932833	0.0113068	0.0134781	0.0158581	0.0184865	0.0213292	0.0243283
"proton"	938.272013	1	1	0.89084	0.631123	0.910114	1.17827	1.29876	1.39442	1.47549	1.53908	1.59066	1.634	1.67146	1.70285	1.73111	1.75661	1.77993	1.80027	1.81991	1.83654	1.85279	1.86787	1.88214	1.89566	1.90776	1.91929	1.93049	1.94105	1.9502	1.95887	1.96696	1.97426	1.98143	1.98724	1.99273	1.99809	2.0028	2.00665	2.01032	2.01399	2.01709	2.0192	2.02172	2.02314	2.02483	2.02577
"triton"	2808.921	1	0	0	0.0136694	0.0261761	0.0229717	0.0230802	0.02352	0.0239936	0.0259812	0.0283281	0.0306865	0.0329419	0.0347411	0.0363791	0.0377159	0.0387945	0.0397228	0.0405331	0.0411675	0.0418525	0.0424244	0.0429634	0.0434936	0.0439522	0.0443852	0.0448604	0.0452647	0.045613	0.0459686	0.046272	0.0466369	0.0468974	0.0471539	0.047456	0.047662	0.047845	0.0480644	0.0481805	0.048388	0.048576	0.0486873	0.0487709	0.0488845	0.0490816	0.0491746
